review_score,product_description_length,product_photos_qty,deliveryTime
4,858.0,1.0,6.1332407407407405
5,493.0,1.0,9.452789351851852
5,1893.0,1.0,13.314189814814815
5,2188.0,2.0,10.64400462962963
5,562.0,5.0,18.232314814814814
1,246.0,2.0,5.790960648148148
1,568.0,1.0,5.790960648148148
5,133.0,1.0,14.887939814814814
5,1213.0,9.0,5.7888773148148145
5,176.0,1.0,8.134756944444444
4,3839.0,4.0,7.307754629629629
5,1024.0,1.0,8.909837962962962
5,1367.0,1.0,12.389594907407407
4,356.0,1.0,3.1314814814814813
4,810.0,1.0,6.6172106481481485
3,365.0,3.0,5.642256944444444
3,365.0,3.0,5.642256944444444
5,1923.0,4.0,3.8597453703703706
5,391.0,1.0,2.0939814814814817
3,565.0,1.0,9.080150462962964
4,1150.0,1.0,21.759733796296295
5,219.0,1.0,17.61556712962963
5,1064.0,2.0,4.9950578703703705
5,523.0,3.0,10.749340277777778
5,651.0,5.0,9.653761574074075
5,428.0,1.0,7.756111111111111
4,3734.0,5.0,13.27513888888889
5,1184.0,3.0,4.146550925925926
5,221.0,7.0,18.729699074074073
1,729.0,1.0,18.949953703703702
5,558.0,1.0,6.134363425925926
5,1266.0,3.0,11.548240740740741
1,2852.0,2.0,25.556377314814814
5,950.0,1.0,10.023715277777777
4,460.0,2.0,19.25519675925926
5,417.0,1.0,14.296805555555556
5,1581.0,2.0,11.228981481481481
5,458.0,4.0,8.465462962962963
5,2282.0,4.0,11.462650462962962
1,1343.0,1.0,38.77923611111111
1,1328.0,1.0,38.77923611111111
2,578.0,3.0,18.008333333333333
1,262.0,1.0,45.263576388888886
5,1536.0,2.0,7.2914814814814815
5,2126.0,1.0,2.2620601851851854
5,873.0,3.0,11.275474537037036
4,754.0,6.0,25.957395833333333
5,236.0,1.0,8.075868055555556
5,951.0,1.0,7.564618055555556
5,782.0,1.0,8.069942129629629
5,293.0,1.0,18.153645833333332
5,517.0,2.0,9.736377314814815
1,889.0,2.0,17.042824074074073
1,391.0,1.0,17.042824074074073
5,1933.0,4.0,1.6981828703703703
5,516.0,1.0,36.09733796296296
5,982.0,3.0,14.321990740740741
5,1135.0,1.0,3.552604166666667
3,1209.0,1.0,9.116064814814814
3,132.0,1.0,21.929953703703703
4,390.0,7.0,16.725729166666667
5,266.0,3.0,12.911064814814814
5,1366.0,2.0,7.176875
5,271.0,2.0,7.831423611111111
5,1285.0,11.0,7.831423611111111
5,1285.0,11.0,7.831423611111111
5,452.0,1.0,7.21375
5,341.0,2.0,12.303900462962963
4,1204.0,1.0,2.792951388888889
5,157.0,1.0,20.026863425925924
5,829.0,1.0,16.804641203703703
5,1096.0,1.0,8.718761574074074
5,591.0,3.0,12.93318287037037
3,1088.0,8.0,8.717835648148148
5,540.0,4.0,23.630150462962963
4,750.0,1.0,19.327696759259258
3,207.0,4.0,13.331921296296295
5,160.0,3.0,4.570694444444444
5,789.0,2.0,4.570694444444444
3,555.0,1.0,16.04201388888889
1,789.0,2.0,11.965925925925927
5,586.0,3.0,19.08965277777778
4,504.0,1.0,4.267615740740741
5,241.0,6.0,10.07025462962963
5,459.0,1.0,10.191377314814815
5,2290.0,5.0,27.401400462962965
5,1571.0,1.0,2.397800925925926
4,476.0,2.0,7.613981481481481
5,1692.0,4.0,4.630127314814815
5,1004.0,2.0,5.992800925925926
5,1629.0,1.0,11.841967592592592
3,308.0,2.0,11.608657407407408
5,751.0,3.0,17.719618055555557
5,80.0,1.0,2.084791666666667
1,1622.0,1.0,16.447731481481483
5,1235.0,1.0,13.881064814814815
5,2644.0,6.0,24.08707175925926
2,1141.0,1.0,44.258414351851854
5,701.0,2.0,14.669641203703703
5,272.0,1.0,16.170578703703704
5,476.0,1.0,13.051990740740742
3,425.0,1.0,11.817951388888888
5,442.0,1.0,21.004675925925927
5,512.0,1.0,13.136585648148149
4,792.0,4.0,23.972916666666666
4,466.0,7.0,12.1584375
5,557.0,1.0,6.908564814814815
5,383.0,2.0,9.170960648148148
1,627.0,1.0,29.667141203703704
5,615.0,1.0,3.9712847222222223
5,334.0,6.0,12.198449074074073
5,270.0,1.0,6.653333333333333
3,1138.0,3.0,8.932361111111112
5,409.0,3.0,6.122048611111111
5,594.0,1.0,8.800590277777777
5,647.0,1.0,3.6286342592592593
5,902.0,2.0,8.23420138888889
1,693.0,3.0,13.782604166666667
1,644.0,1.0,13.782604166666667
5,214.0,2.0,6.90537037037037
5,1156.0,1.0,7.737233796296296
5,1271.0,1.0,25.26449074074074
1,355.0,1.0,14.0678125
4,894.0,1.0,10.202453703703704
4,2718.0,1.0,15.56363425925926
1,227.0,1.0,41.232893518518516
4,860.0,3.0,6.497800925925926
5,420.0,1.0,5.90537037037037
4,1530.0,1.0,5.070474537037037
5,586.0,3.0,12.341655092592593
5,3189.0,6.0,1.7116319444444446
2,751.0,1.0,34.95681712962963
5,634.0,2.0,12.773402777777777
5,2141.0,1.0,4.968460648148148
3,867.0,3.0,6.43582175925926
1,790.0,6.0,3.169652777777778
5,210.0,1.0,7.061157407407407
4,365.0,3.0,9.139155092592592
3,1205.0,1.0,13.65642361111111
5,478.0,4.0,6.474594907407408
5,546.0,1.0,6.617974537037037
3,2021.0,1.0,6.227013888888889
3,1440.0,1.0,13.062650462962964
5,776.0,6.0,13.864826388888888
5,1249.0,1.0,10.251319444444444
5,188.0,2.0,24.541979166666668
5,245.0,1.0,5.980370370370371
4,446.0,5.0,6.727719907407407
1,261.0,1.0,5.805474537037037
1,295.0,1.0,5.805474537037037
5,616.0,1.0,6.08761574074074
3,261.0,3.0,4.456736111111111
4,701.0,2.0,21.69641203703704
1,272.0,1.0,3.463287037037037
1,1232.0,1.0,3.463287037037037
1,582.0,1.0,21.98935185185185
5,894.0,1.0,13.936944444444444
5,687.0,1.0,11.92855324074074
5,1363.0,2.0,22.933506944444446
1,678.0,3.0,6.167824074074074
5,438.0,2.0,8.479282407407407
2,772.0,1.0,14.87329861111111
5,190.0,1.0,8.690335648148148
4,952.0,3.0,5.42630787037037
5,3632.0,4.0,11.093298611111111
5,296.0,1.0,11.614490740740742
5,365.0,1.0,8.021956018518518
3,2157.0,6.0,8.825219907407407
5,1324.0,1.0,25.717546296296295
5,913.0,3.0,7.6628125
5,689.0,1.0,6.134085648148148
4,831.0,1.0,25.679236111111113
1,175.0,3.0,7.122881944444444
1,232.0,1.0,37.32273148148148
5,372.0,1.0,21.82357638888889
5,161.0,2.0,5.422256944444444
5,571.0,1.0,22.145069444444445
4,1200.0,1.0,19.118819444444444
5,382.0,2.0,1.7250231481481482
5,644.0,1.0,6.005405092592593
5,623.0,1.0,9.50505787037037
3,789.0,1.0,20.041469907407407
5,557.0,1.0,5.999293981481482
3,119.0,1.0,7.046342592592593
4,629.0,1.0,13.275266203703703
4,623.0,1.0,24.09866898148148
5,448.0,1.0,10.3353125
1,180.0,4.0,22.73318287037037
4,1036.0,1.0,4.833275462962963
5,756.0,1.0,7.0
5,245.0,1.0,11.295347222222222
1,1231.0,6.0,6.885324074074074
5,279.0,1.0,10.184513888888889
4,997.0,1.0,24.018634259259258
4,92.0,1.0,7.270347222222222
4,575.0,1.0,3.494872685185185
5,272.0,1.0,35.48456018518519
3,1045.0,1.0,6.976875
1,598.0,3.0,4.873449074074074
5,2314.0,8.0,14.368506944444444
5,350.0,1.0,18.113564814814815
5,655.0,1.0,18.04769675925926
3,841.0,1.0,16.105949074074076
5,707.0,1.0,17.160787037037036
5,1411.0,1.0,3.3596412037037036
5,573.0,2.0,1.8937037037037037
4,600.0,3.0,7.100798611111111
5,1352.0,1.0,13.470173611111111
3,674.0,3.0,10.99130787037037
5,1049.0,1.0,11.04568287037037
5,913.0,3.0,18.51646990740741
3,1892.0,4.0,16.99650462962963
5,167.0,1.0,16.398703703703703
3,420.0,1.0,9.116180555555555
5,1275.0,2.0,9.343020833333334
3,289.0,1.0,7.169074074074074
5,528.0,3.0,11.433229166666667
5,1193.0,3.0,3.108229166666667
3,1533.0,1.0,11.288310185185185
5,315.0,1.0,7.191967592592593
5,523.0,3.0,16.837881944444444
1,301.0,3.0,29.611527777777777
1,530.0,1.0,30.984930555555554
1,147.0,1.0,26.52927083333333
5,437.0,3.0,12.761099537037037
5,366.0,2.0,10.144016203703703
5,324.0,1.0,22.011666666666667
3,273.0,1.0,27.802141203703705
5,1166.0,5.0,6.334618055555556
4,996.0,1.0,12.277939814814815
5,281.0,1.0,10.89324074074074
4,319.0,4.0,6.777037037037037
5,1426.0,1.0,6.159305555555555
3,844.0,1.0,26.23841435185185
4,671.0,5.0,4.395659722222222
5,571.0,2.0,9.185752314814815
4,1396.0,2.0,7.8886921296296295
5,408.0,1.0,25.294953703703705
5,346.0,2.0,10.342777777777778
1,248.0,1.0,28.6828125
5,335.0,3.0,4.205358796296296
1,454.0,1.0,29.112951388888888
1,1843.0,4.0,10.009895833333333
5,483.0,2.0,12.702754629629629
5,2098.0,4.0,15.518136574074074
1,197.0,1.0,24.06556712962963
5,1135.0,5.0,7.208576388888889
5,660.0,1.0,4.203564814814815
1,419.0,4.0,6.557581018518518
5,830.0,1.0,10.859722222222222
5,600.0,1.0,4.461886574074074
5,1116.0,1.0,14.391886574074075
5,814.0,2.0,8.236736111111112
3,1169.0,2.0,4.226145833333334
5,819.0,1.0,8.396828703703704
4,584.0,2.0,23.964537037037037
5,1043.0,2.0,21.683703703703703
5,1235.0,1.0,17.253611111111113
5,155.0,2.0,12.924479166666666
1,1726.0,2.0,6.062627314814815
5,375.0,3.0,3.1786689814814815
2,395.0,1.0,10.796493055555555
2,558.0,1.0,22.17914351851852
2,790.0,2.0,12.597465277777777
5,380.0,3.0,11.973680555555555
5,370.0,1.0,11.226157407407408
5,2143.0,4.0,7.346828703703704
1,718.0,2.0,14.224027777777778
5,236.0,1.0,17.136863425925927
5,833.0,4.0,8.886712962962964
5,168.0,1.0,6.5731828703703705
5,1257.0,1.0,7.450833333333334
5,434.0,1.0,5.002789351851852
5,495.0,6.0,32.01271990740741
4,1130.0,1.0,15.772037037037038
4,514.0,1.0,6.250289351851852
5,998.0,2.0,6.364756944444444
5,695.0,6.0,13.50957175925926
5,435.0,1.0,15.152951388888889
5,341.0,2.0,7.163298611111111
5,412.0,5.0,11.627060185185185
5,1452.0,4.0,11.967256944444445
5,255.0,3.0,9.90599537037037
5,1017.0,1.0,14.981724537037037
5,692.0,6.0,14.89324074074074
5,327.0,5.0,7.170983796296296
4,802.0,2.0,5.930069444444444
5,1534.0,1.0,18.92939814814815
5,790.0,3.0,7.184803240740741
5,1480.0,5.0,16.973715277777778
1,198.0,6.0,12.878217592592593
5,759.0,3.0,12.173402777777778
4,1642.0,10.0,19.049085648148147
3,3784.0,7.0,10.007013888888888
1,1607.0,1.0,10.082037037037036
5,486.0,1.0,12.835243055555555
5,610.0,1.0,5.3737152777777775
4,680.0,2.0,11.310300925925926
4,165.0,1.0,10.19318287037037
5,217.0,3.0,14.182824074074073
3,364.0,2.0,16.78025462962963
1,492.0,2.0,7.7629166666666665
1,1133.0,10.0,31.71582175925926
5,2324.0,1.0,4.11480324074074
5,289.0,1.0,9.366550925925926
4,476.0,1.0,12.174259259259259
5,675.0,5.0,5.979965277777778
4,475.0,1.0,22.01596064814815
3,2035.0,2.0,11.416793981481481
4,3831.0,1.0,13.578113425925926
5,891.0,1.0,4.844918981481482
5,408.0,1.0,8.889513888888889
5,410.0,1.0,6.715694444444445
5,287.0,1.0,17.150868055555556
3,1681.0,2.0,4.7983217592592595
5,1485.0,1.0,9.888807870370371
1,1169.0,1.0,7.053761574074074
4,1568.0,1.0,1.316087962962963
5,1025.0,4.0,13.061770833333334
5,872.0,1.0,6.237604166666666
4,830.0,15.0,5.063564814814815
4,996.0,3.0,19.562708333333333
4,471.0,4.0,5.324386574074074
5,637.0,1.0,6.8016550925925925
5,523.0,3.0,22.47269675925926
5,315.0,1.0,12.41193287037037
1,94.0,1.0,6.064537037037037
4,396.0,1.0,21.671689814814815
1,600.0,3.0,6.654351851851852
5,622.0,2.0,7.9732060185185185
5,1440.0,4.0,11.139837962962963
5,412.0,5.0,7.006273148148148
2,1009.0,2.0,15.179756944444444
3,87.0,5.0,11.05587962962963
3,609.0,1.0,16.321875
5,189.0,1.0,6.1216435185185185
5,189.0,1.0,6.1216435185185185
5,142.0,1.0,22.087430555555557
3,1146.0,6.0,2.394108796296296
5,2172.0,1.0,12.444097222222222
5,398.0,1.0,2.977511574074074
5,322.0,1.0,20.003541666666667
5,1350.0,1.0,18.192523148148148
3,830.0,1.0,25.18636574074074
5,949.0,2.0,6.082083333333333
5,1685.0,4.0,10.722881944444444
3,2188.0,2.0,11.405185185185186
5,428.0,8.0,3.88375
1,346.0,1.0,7.62962962962963
5,554.0,1.0,13.0784375
4,274.0,1.0,4.112858796296297
5,426.0,2.0,8.165578703703703
3,333.0,4.0,26.26915509259259
5,115.0,1.0,6.03363425925926
5,617.0,2.0,14.298738425925926
5,321.0,1.0,7.177013888888889
5,642.0,1.0,8.045277777777779
2,580.0,4.0,10.567673611111111
4,1306.0,3.0,6.3142708333333335
5,112.0,1.0,19.894166666666667
1,1313.0,2.0,29.30959490740741
5,410.0,1.0,6.3209375
5,182.0,3.0,14.898738425925925
5,431.0,2.0,10.077754629629629
5,142.0,6.0,7.336134259259259
5,578.0,3.0,4.691168981481481
4,409.0,1.0,7.014375
5,555.0,1.0,9.930925925925926
5,615.0,3.0,5.950324074074074
4,223.0,4.0,24.058032407407406
5,742.0,3.0,21.252916666666668
5,322.0,1.0,4.282476851851852
5,525.0,2.0,10.278483796296296
5,403.0,1.0,8.327141203703704
5,573.0,1.0,8.254027777777777
5,514.0,2.0,7.437326388888889
1,381.0,1.0,16.690543981481483
1,250.0,1.0,6.0318402777777775
